epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0589,2.50292,4.39184,2.30425,0.00085,0.13636,0.00056,0.0002,3.02822,4.15987,2.84803,6.668e-05,6.668e-05,6.668e-05
2,21.5134,2.43315,4.52426,2.23959,0.00192,0.29545,0.00264,0.00083,2.04476,3.85145,2.13485,0.000147059,0.000147059,0.000147059
3,30.8316,1.88082,3.47506,1.7046,0.00455,0.78209,0.23998,0.09878,1.68987,3.34364,1.60532,0.000224138,0.000224138,0.000224138
4,40.0195,1.71918,2.8489,1.49078,0.0053,0.90241,0.38391,0.19248,1.53789,3.15367,1.46017,0.000297916,0.000297916,0.000297916
5,47.5515,1.65834,2.22536,1.42141,0.00545,0.92513,0.33103,0.15414,1.51142,3.11976,1.40086,0.000368394,0.000368394,0.000368394
6,54.1584,1.67164,2.19825,1.43404,0.00545,0.92513,0.33025,0.16485,1.54328,3.12005,1.44959,0.00043557,0.00043557,0.00043557
7,60.1025,1.59976,2.07793,1.36325,0.00514,0.87299,0.25432,0.10369,1.58686,3.19179,1.50341,0.000499447,0.000499447,0.000499447
8,65.486,1.55316,1.86779,1.32655,0.00485,0.82754,0.37591,0.16165,1.58733,3.10275,1.45132,0.000560022,0.000560022,0.000560022
9,70.8834,1.57873,2.00846,1.38819,0.00459,0.78877,0.30486,0.13515,1.6251,3.17555,1.49691,0.000617297,0.000617297,0.000617297
10,75.8939,1.60072,1.9865,1.35859,0.60174,0.03851,0.31219,0.14078,1.59807,3.02426,1.46187,0.000671271,0.000671271,0.000671271
11,80.9391,1.5588,1.85201,1.33888,0.80903,0.02941,0.32277,0.14986,1.66387,2.9674,1.43992,0.000721944,0.000721944,0.000721944
12,86.0169,1.46847,1.77568,1.28336,0.88023,0.09439,0.35104,0.15776,1.51343,2.84488,1.36834,0.000769317,0.000769317,0.000769317
13,91.395,1.47393,1.73563,1.2736,0.75559,0.11765,0.47174,0.22446,1.41575,2.73909,1.35724,0.000813389,0.000813389,0.000813389
14,97.5811,1.52298,1.68023,1.34124,0.74383,0.26471,0.5193,0.28035,1.28382,2.61623,1.2797,0.000854161,0.000854161,0.000854161
15,103.248,1.38544,1.7562,1.27531,0.79381,0.20588,0.59069,0.33673,1.27814,2.5276,1.28063,0.000891632,0.000891632,0.000891632
16,108.11,1.3937,1.59356,1.30618,0.80776,0.28178,0.67472,0.35956,1.41831,2.44414,1.35146,0.000925802,0.000925802,0.000925802
17,112.245,1.37896,1.66634,1.29158,0.8074,0.38235,0.59108,0.27681,1.49404,2.5986,1.36984,0.000956671,0.000956671,0.000956671
18,115.352,1.51719,1.68054,1.35821,0.83043,0.34424,0.6125,0.29626,1.49749,2.53151,1.39981,0.00098424,0.00098424,0.00098424
19,118.277,1.37946,1.48833,1.27511,0.68484,0.51011,0.75063,0.35464,1.53766,2.36295,1.43818,0.00100851,0.00100851,0.00100851
20,121.392,1.4796,1.58873,1.35406,0.65356,0.68748,0.86128,0.44216,1.53442,2.04726,1.50074,0.00102948,0.00102948,0.00102948
21,124.618,1.41002,1.46102,1.26867,0.70196,0.6502,0.81525,0.44071,1.5135,2.08153,1.45544,0.00100687,0.00100687,0.00100687
22,127.684,1.41514,1.40807,1.25338,0.72875,0.69228,0.80028,0.43442,1.52032,2.04353,1.44584,0.000973861,0.000973861,0.000973861
23,130.528,1.38164,1.41698,1.20079,0.68367,0.73225,0.80223,0.40099,1.63833,1.94862,1.51622,0.000940855,0.000940855,0.000940855
24,133.595,1.32498,1.3518,1.24679,0.66013,0.69819,0.7821,0.39171,1.67057,1.84112,1.52855,0.000907848,0.000907848,0.000907848
25,136.556,1.26658,1.44365,1.25771,0.69024,0.73081,0.81608,0.41738,1.76417,1.78824,1.59482,0.000874842,0.000874842,0.000874842
26,139.321,1.37298,1.37647,1.22125,0.73992,0.81332,0.87519,0.47551,1.64708,1.56326,1.49275,0.000841835,0.000841835,0.000841835
27,142.896,1.29483,1.31446,1.19381,0.8421,0.90461,0.90703,0.50143,1.52652,1.31977,1.4854,0.000808828,0.000808828,0.000808828
28,146.544,1.33088,1.27983,1.25769,0.87273,0.82522,0.87791,0.47877,1.58323,1.21709,1.57672,0.000775822,0.000775822,0.000775822
29,149.521,1.25593,1.20937,1.16625,0.85815,0.79736,0.87717,0.47172,1.54607,1.25678,1.53544,0.000742815,0.000742815,0.000742815
30,152.698,1.29172,1.25618,1.19736,0.84207,0.80749,0.87454,0.44174,1.50532,1.35248,1.4581,0.000709809,0.000709809,0.000709809
31,155.945,1.49032,1.50323,1.34009,0.82528,0.85534,0.85226,0.44767,1.52284,1.3576,1.50742,0.000676802,0.000676802,0.000676802
32,159.012,1.28904,1.27039,1.19492,0.79704,0.94786,0.84872,0.44809,1.54761,1.27293,1.52173,0.000643795,0.000643795,0.000643795
33,162.032,1.24257,1.30447,1.27514,0.84639,0.96534,0.88058,0.44672,1.57232,1.19868,1.55553,0.000610789,0.000610789,0.000610789
34,165.038,1.13373,1.16449,1.18216,0.84554,0.95657,0.88414,0.47399,1.53326,1.1313,1.51305,0.000577782,0.000577782,0.000577782
35,167.941,1.23491,1.30509,1.22478,0.83283,0.94786,0.87026,0.48367,1.44208,1.06808,1.42369,0.000544776,0.000544776,0.000544776
36,170.958,1.20439,1.19234,1.17288,0.83014,0.97727,0.8743,0.50283,1.47389,1.05268,1.43839,0.000511769,0.000511769,0.000511769
37,174.199,1.24261,1.20392,1.1817,0.84436,0.90528,0.86855,0.49343,1.51803,1.12498,1.47261,0.000478762,0.000478762,0.000478762
38,177.382,1.12767,1.10089,1.11522,0.84779,0.9003,0.86248,0.48771,1.53303,1.19152,1.51182,0.000445756,0.000445756,0.000445756
39,180.487,1.11582,1.05735,1.14345,0.8428,0.90353,0.85047,0.47706,1.53189,1.21062,1.53041,0.000412749,0.000412749,0.000412749
40,183.915,1.0518,1.11171,1.11564,0.81428,0.96101,0.8593,0.50857,1.49763,1.09747,1.48357,0.000379743,0.000379743,0.000379743
41,262.632,0.98944,1.12896,1.13422,0.81345,0.94519,0.8515,0.49632,1.50456,1.06707,1.46377,0.000346736,0.000346736,0.000346736
42,267.16,1.04171,1.0863,1.14162,0.77844,0.93502,0.84571,0.50861,1.4839,1.10689,1.43426,0.000313729,0.000313729,0.000313729
43,271.695,0.99693,1.0963,1.14983,0.79791,0.91751,0.86657,0.51861,1.44945,1.19662,1.40749,0.000280723,0.000280723,0.000280723
44,275.826,1.03086,1.15542,1.15398,0.83706,0.9261,0.88402,0.49515,1.454,1.28471,1.43856,0.000247716,0.000247716,0.000247716
45,279.707,0.98976,1.09418,1.15172,0.81047,0.93453,0.88671,0.51238,1.43005,1.23475,1.42269,0.00021471,0.00021471,0.00021471
46,283.762,0.96756,1.25064,1.147,0.81015,0.93743,0.86476,0.52229,1.42475,1.15997,1.41101,0.000181703,0.000181703,0.000181703
47,287.467,0.86367,1.08396,1.06423,0.81254,0.93457,0.87161,0.52142,1.43817,1.11355,1.4239,0.000148696,0.000148696,0.000148696
48,291.214,0.90396,1.02413,1.09185,0.81584,0.93866,0.87568,0.50632,1.4552,1.08191,1.44311,0.00011569,0.00011569,0.00011569
49,294.716,0.86377,1.0198,1.07025,0.81711,0.93737,0.87956,0.50129,1.47362,1.07184,1.46003,8.26832e-05,8.26832e-05,8.26832e-05
50,298.274,0.91897,1.12385,1.14443,0.83409,0.94059,0.88156,0.49847,1.49573,1.05136,1.47817,4.96766e-05,4.96766e-05,4.96766e-05
